id,assigned_class,name,sex,score,24년 학급,클럽,좋은관계,나쁜관계,Leadership,Piano,비등교,운동선호
202502,2,Briada,girl,51,b,댄스,,,,yes,,
202508,2,Jessica J,girl,95,c,밴드,,,,,,
202512,2,Lauren S,girl,88,b,미술,,,,,,
202513,2,Robert B,boy,98,b,연극,,,,,,
202518,2,Andrew J,boy,71,b,야구,,,,,,yes
202525,2,John M,boy,64,d,독서,,,,,,
202528,2,Daniel G,boy,75,d,야구,,,,,,
202535,2,Jennifer W,girl,83,f,코딩,,,,yes,,
202541,2,Lauren M,girl,65,c,밴드,,,,,,
202552,2,Matthew D,boy,64,f,미술,,,,,,
202553,2,Michael B,boy,90,d,축구,,,,,,yes
202559,2,David J,boy,63,c,코딩,,,,,yes,
202580,2,Robert H,boy,95,c,연극,,,,,,
202583,2,Lauren J,girl,85,e,독서,,,,,,
202586,2,Joshua R,boy,77,d,독서,,,,,,
202603,2,Ryan T,boy,82,b,축구,,,,,,
202611,2,Brian M,boy,74,f,미술,,,yes,,,
202613,2,Justin W,boy,85,b,코딩,,,,,,
202615,2,Kimberly T,girl,93,c,미술,202670.0,,,,,
202616,2,Brian M,boy,65,d,야구,,,,,,
202622,2,Justin D,boy,78,a,축구,,,,,,
202626,2,Robert M,boy,70,e,야구,,,,,,
202627,2,Joseph L,boy,83,a,노래,,,,,,
202629,2,William M,boy,89,e,축구,,202639.0,yes,,,
202631,2,Matthew M,boy,63,e,댄스,,,,,,
202637,2,Robert H,boy,72,f,봉사,,,,,yes,
202644,2,Joshua S,boy,78,a,야구,202657.0,,,,,yes
202654,2,Joseph M,boy,72,b,노래,,,,,yes,
202656,2,Jessica M,girl,62,a,독서,,,,yes,,
202660,2,Nicholas T,boy,66,f,노래,202647.0,,yes,,,
202666,2,Jessica M,girl,80,a,봉사,,,,,,
202681,2,Andrew W,boy,78,a,코딩,,202671.0,,,,
202685,2,Stephanie J,girl,85,d,독서,,,,,,
202690,2,Michael J,boy,90,c,축구,202674.0,202695.0,,,,
