id,assigned_class,name,sex,score,24년 학급,클럽,좋은관계,나쁜관계,Leadership,Piano,비등교,운동선호
202506,5,Kimberly T,girl,72,f,밴드,202517.0,,,,,
202515,5,Ashley B,girl,81,a,봉사,,202502.0,,,yes,
202526,5,Joshua S,boy,76,b,밴드,,,,,,
202532,5,David G,boy,81,e,연극,,,,,,
202534,5,Nicholas W,boy,98,f,봉사,,,,yes,,
202537,5,Matthew H,boy,83,f,코딩,,,,,yes,
202539,5,Robert M,boy,77,a,밴드,,,,,,
202540,5,Emily W,girl,93,c,댄스,,,,yes,,
202542,5,Ryan M,boy,97,f,축구,,,yes,,,
202547,5,Brian J,boy,98,d,야구,,,,,,yes
202548,5,David W,boy,90,c,독서,,,,,,
202549,5,Daniel D,boy,76,d,코딩,,,,,,
202562,5,Justin J,boy,78,f,코딩,202545.0,202619.0,,,,
202569,5,Sarah H,girl,91,e,연극,202682.0,,,,,
202574,5,Michael G,boy,62,d,축구,,,,,,
202577,5,Stephanie J,girl,88,c,밴드,,202650.0,,,,
202579,5,Jennifer J,girl,66,a,밴드,,,,,,
202591,5,Nicole S,girl,63,e,축구,,,,,,
202598,5,Emily M,girl,72,f,코딩,202588.0,202517.0,,,,
202605,5,Kevin M,boy,98,c,미술,,,,,,
202609,5,Ryan B,boy,73,d,댄스,,,,yes,,
202612,5,Michael M,boy,66,b,야구,,,,,,
202623,5,Ashley T,girl,94,d,노래,,,,,,
202625,5,Nicholas J,boy,68,a,코딩,,,,,,
202635,5,Brandon B,boy,77,c,댄스,,,,,,
202641,5,Matthew H,boy,97,b,연극,,,,yes,yes,
202647,5,Brian T,boy,62,b,댄스,202660.0,,,,,
202649,5,Matthew J,boy,77,b,밴드,,,,,,
202669,5,Chris T,boy,77,a,야구,,,,,,
202682,5,Joseph B,boy,74,d,독서,,,,,yes,
202686,5,David D,boy,71,a,축구,,,,,,
202687,5,Michael H,boy,76,e,댄스,,,yes,,,yes
202692,5,Robert J,boy,77,c,밴드,,,,,,
