id,assigned_class,name,sex,score,24년 학급,클럽,좋은관계,나쁜관계,Leadership,Piano,비등교,운동선호
202507,3,Joshua H,boy,63,b,축구,,,,,,
202509,3,Jennifer H,girl,98,d,야구,,202536.0,,yes,,
202510,3,John G,boy,68,a,코딩,,,,,,
202511,3,Jessica S,girl,64,c,코딩,,,,,,yes
202514,3,Emily G,girl,94,d,봉사,,,,,,
202523,3,Brandon G,boy,97,a,연극,,,,yes,yes,
202554,3,Lauren D,girl,95,b,연극,,,,yes,,
202556,3,Kevin D,boy,78,c,노래,,,,,,
202558,3,Kevin D,boy,66,b,밴드,,,,,,yes
202566,3,Brandon B,boy,93,d,미술,,,,,,
202568,3,William J,boy,93,d,봉사,,202521.0,,,,
202570,3,James T,boy,94,d,연극,,,,,,
202576,3,James S,boy,62,e,댄스,,,,yes,,
202581,3,Ryan R,boy,62,d,연극,,,,,,
202592,3,Joshua L,boy,84,c,야구,202613.0,,yes,,yes,
202594,3,Stephanie J,girl,68,e,댄스,,,,,,
202595,3,Justin H,boy,75,a,코딩,,,,,,
202596,3,Matthew J,boy,95,a,미술,202634.0,,,,,
202606,3,David G,boy,99,c,축구,,,,,,
202607,3,Michael M,boy,81,f,축구,,,,,,
202614,3,Stephanie D,girl,84,e,연극,,202613.0,yes,,,
202620,3,Ashley G,girl,81,c,미술,,,,,,
202630,3,Jennifer L,girl,70,c,밴드,202611.0,,,,,
202640,3,Lauren G,girl,73,b,댄스,,,,,,
202652,3,Chris W,boy,81,a,독서,,,,,,
202658,3,Amanda G,girl,61,e,연극,,202641.0,,,,
202659,3,Brandon G,boy,79,f,축구,,,,,,
202662,3,Matthew M,boy,96,f,밴드,,,,,,
202674,3,Emily W,girl,71,b,야구,,,,,,
202676,3,Joseph R,boy,71,a,밴드,,202679.0,,,yes,
202684,3,David S,boy,80,e,밴드,,,yes,,yes,yes
202688,3,Matthew J,boy,91,f,축구,,,,,,yes
202691,3,Joseph L,boy,64,f,미술,,,yes,,,
