id,assigned_class,name,sex,score,24년 학급,클럽,좋은관계,나쁜관계,Leadership,Piano,비등교,운동선호
202501,1,Andy,boy,90,a,노래,202502.0,202503.0,,,,
202519,1,Emily M,girl,61,f,축구,,,,,,yes
202522,1,Ryan T,boy,68,c,미술,,,yes,,,yes
202524,1,Lauren J,girl,67,e,미술,,,,yes,,
202530,1,John S,boy,60,f,밴드,,,,,,
202533,1,Kevin J,boy,72,b,댄스,,,,,,
202543,1,Justin T,boy,79,f,축구,,,,,,
202550,1,Daniel J,boy,62,e,봉사,,,,,,
202551,1,David G,boy,67,b,독서,,,,,,
202555,1,Ashley S,girl,89,e,야구,,,,yes,yes,
202557,1,James G,boy,84,c,노래,,,,,,yes
202561,1,James M,boy,62,d,봉사,,,,,,
202564,1,Joseph M,boy,75,b,연극,,,,,,
202565,1,Chris G,boy,71,c,미술,,,,,,
202572,1,Kimberly M,girl,82,b,노래,,,,,,
202575,1,Brian D,boy,84,c,축구,,,yes,,,
202578,1,Jessica J,girl,97,d,독서,,,,yes,,
202585,1,David B,boy,62,f,노래,,,yes,,,
202587,1,Stephanie D,girl,92,e,독서,202678.0,,,,yes,
202590,1,Matthew M,boy,88,d,코딩,,,,,,
202600,1,Joshua T,boy,84,d,독서,,,,,,
202602,1,Jessica D,girl,84,a,연극,,,,,,
202610,1,Daniel M,boy,60,f,봉사,,,,,,
202621,1,Amanda T,girl,71,b,야구,,202601.0,,,,
202632,1,Andrew L,boy,98,a,노래,,,,,,yes
202634,1,Justin L,boy,88,b,봉사,202596.0,,,,,
202638,1,Michael S,boy,60,f,독서,,,,,,
202639,1,Matthew J,boy,87,d,봉사,,,,,,
202651,1,David W,boy,92,e,미술,,,,,,
202655,1,Andrew J,boy,91,d,밴드,,,,,,
202661,1,Robert B,boy,77,a,댄스,,,,,,
202663,1,Jessica R,girl,79,a,코딩,,,,,,
202664,1,Joseph J,boy,62,a,노래,,,,,,
202675,1,Stephanie J,girl,88,c,미술,,,,,,
