id,assigned_class,name,sex,score,24년 학급,클럽,좋은관계,나쁜관계,Leadership,Piano,비등교,운동선호
202504,6,Kevin W,boy,60,f,미술,,202677.0,,,,
202505,6,Matthew G,boy,96,f,댄스,,,,,yes,
202516,6,Justin J,boy,96,e,독서,,,,,,yes
202520,6,Lauren G,girl,83,a,댄스,,,,,,
202521,6,Jennifer M,girl,74,a,연극,,202568.0,yes,,,
202527,6,James T,boy,96,a,미술,,,,,,
202529,6,Chris M,boy,95,a,야구,,,,yes,,
202536,6,Robert M,boy,61,c,독서,,,,,,
202560,6,Kevin M,boy,92,e,미술,,,,,,
202567,6,Justin R,boy,69,b,노래,,,,,,
202571,6,John H,boy,71,d,미술,,,,yes,,
202573,6,Kimberly J,girl,64,f,봉사,,,,,,
202582,6,Ashley W,girl,93,d,야구,,,,,,
202584,6,Emily H,girl,82,b,코딩,,,,,,
202589,6,Chris G,boy,83,e,야구,,,yes,,,
202599,6,Kimberly T,girl,72,d,댄스,,,,,,
202601,6,Emily M,girl,75,b,연극,,202621.0,,,,
202618,6,Robert M,boy,98,d,미술,,,,,,
202624,6,Lauren S,girl,63,f,연극,,,,yes,,
202645,6,James D,boy,87,c,댄스,,,,,,
202653,6,Joseph L,boy,76,c,밴드,,,,,,
202657,6,Sarah R,girl,65,c,야구,,,yes,,,
202671,6,Ryan T,boy,64,c,봉사,,,,,,
202672,6,Robert W,boy,91,a,독서,,,,,,
202673,6,Matthew M,boy,85,b,연극,,,,,yes,yes
202677,6,Joseph B,boy,79,f,미술,,202504.0,,,,
202683,6,William T,boy,70,c,밴드,,,,yes,,
202689,6,David S,boy,91,d,연극,,,,,yes,yes
202694,6,James B,boy,92,d,연극,,,yes,,,
202695,6,Elizabeth T,girl,74,e,밴드,202700.0,,,,,
202696,6,Michael M,boy,69,a,미술,,,,,,
202698,6,Justin W,boy,99,b,미술,,,,,,
202700,6,Ryan R,boy,66,b,코딩,202695.0,202693.0,yes,,,
